survey_id,encounter_id,response_date,overall_satisfaction,communication_with_nurses,communication_with_doctors,cleanliness_score,would_recommend
SRV-982347,ENC-11534,2024-06-29,8.3,7.6,9.5,9.6,Yes
SRV-653585,ENC-11903,2024-08-27,9.2,9.0,10.0,8.4,Yes
SRV-297552,ENC-13792,2024-10-19,10.0,9.1,10.0,10.0,Yes
SRV-322389,ENC-11701,2024-05-08,6.5,7.1,6.2,7.8,Yes
SRV-581011,ENC-11798,2024-09-17,6.7,5.9,7.5,6.9,No
SRV-396297,ENC-13426,2024-11-23,7.0,7.9,8.4,6.1,Yes
SRV-749499,ENC-10333,2024-12-19,8.8,8.4,10.0,8.2,Yes
SRV-184514,ENC-11016,2024-09-07,9.1,8.2,7.4,10.0,Yes
SRV-625141,ENC-14650,2024-07-22,10.0,10.0,10.0,9.8,Yes
SRV-917298,ENC-14529,2024-08-28,10.0,10.0,10.0,10.0,Yes
SRV-556901,ENC-13021,2024-05-07,5.9,7.0,4.8,7.8,Yes
SRV-695940,ENC-11593,2024-05-05,7.2,7.3,7.1,9.1,No
SRV-193965,ENC-10944,2024-11-24,5.6,5.3,3.8,6.0,Yes
SRV-588577,ENC-12823,2024-11-25,5.4,4.1,7.1,3.8,No
SRV-521328,ENC-12539,2024-08-13,10.0,10.0,8.6,5.7,Yes
SRV-771752,ENC-14643,2024-03-05,8.4,9.2,9.9,8.1,No
SRV-351595,ENC-98998,2024-10-06,4.2,4.6,4.6,6.6,No
SRV-390567,ENC-11820,2024-08-07,8.0,9.0,8.9,7.7,No
SRV-699235,ENC-13046,2024-06-14,10.0,9.5,10.0,9.0,Yes
SRV-673512,ENC-11850,2024-09-18,10.0,9.5,10.0,9.6,No
SRV-680318,ENC-14431,2024-06-03,6.9,6.5,6.4,7.9,No
SRV-535169,ENC-13113,2024-12-22,10.0,10.0,10.0,10.0,Yes
SRV-211149,ENC-14770,2024-01-27,10.0,8.7,9.8,10.0,Yes
SRV-543866,ENC-13878,2024-01-16,7.2,7.6,7.8,5.8,Yes
SRV-316093,ENC-14337,2024-05-12,9.1,10.0,7.7,8.6,Yes
SRV-312546,ENC-10497,2024-06-26,7.7,8.9,8.1,6.9,Yes
SRV-597721,ENC-11332,2024-05-22,6.9,8.4,6.6,6.1,No
SRV-640511,ENC-10563,2024-08-28,7.3,7.3,7.3,7.9,Yes
SRV-382956,ENC-11785,2024-02-10,7.0,5.7,7.0,8.2,Yes
SRV-623412,ENC-11248,2024-04-10,4.8,4.0,5.7,5.8,No
SRV-247085,ENC-13936,2024-12-24,6.7,5.8,8.9,8.2,No
SRV-904553,ENC-14158,2024-05-13,9.2,10.0,9.6,9.7,Yes
SRV-329262,ENC-13672,2024-08-15,6.0,6.3,8.2,7.6,No
SRV-347082,ENC-11060,2024-10-28,8.5,8.7,8.8,10.0,No
SRV-674331,ENC-12973,2024-06-07,7.2,5.4,8.7,4.9,Yes
SRV-352733,ENC-13302,2024-07-04,5.1,5.4,6.0,1.0,No
SRV-949174,ENC-13489,2024-09-28,7.7,8.4,6.7,7.8,Yes
SRV-951724,ENC-10207,2024-11-25,3.8,4.8,4.7,4.8,Yes
SRV-735846,ENC-10279,2024-08-06,7.9,7.0,9.6,8.2,No
SRV-434840,ENC-13018,2024-12-25,10.0,10.0,10.0,10.0,Yes
SRV-434490,ENC-10647,2024-12-02,9.7,9.7,10.0,9.2,Yes
SRV-335167,ENC-14210,2024-01-03,7.8,6.4,9.7,7.3,No
SRV-538317,ENC-12495,2024-09-12,8.1,6.7,9.4,5.8,Yes
SRV-745254,ENC-14913,2024-10-03,4.9,4.1,6.1,6.2,No
SRV-257318,ENC-13442,2024-02-07,5.7,6.0,5.5,7.7,Yes
SRV-292665,ENC-12301,2024-07-09,7.8,8.6,7.7,8.6,Yes
SRV-182909,ENC-13674,2024-10-26,10.0,10.0,10.0,10.0,Yes
SRV-319189,ENC-11773,2024-08-26,7.9,8.0,8.5,9.0,Yes
SRV-934050,ENC-11185,2024-04-23,7.0,4.4,8.6,6.5,No
SRV-265430,ENC-13398,2024-06-23,6.4,7.1,7.2,7.0,No
SRV-679646,ENC-10952,2024-07-24,5.5,5.6,6.7,7.2,No
SRV-765924,ENC-10363,2024-06-20,7.7,7.9,7.9,3.2,No
SRV-641998,ENC-11515,2024-03-20,7.1,4.9,8.2,10.0,Yes
SRV-823271,ENC-10633,2024-02-11,8.9,9.4,9.3,6.3,No
SRV-976823,ENC-10735,2024-05-02,10.0,8.1,10.0,10.0,Yes
SRV-122763,ENC-12009,2024-09-08,6.7,5.6,7.2,6.8,No
SRV-410925,ENC-10627,2024-09-05,9.2,8.5,7.3,9.0,Yes
SRV-409724,ENC-12537,2024-02-15,7.5,8.4,8.3,5.7,Yes
SRV-484773,ENC-11563,2024-07-18,6.0,5.3,6.6,8.6,Yes
SRV-937536,ENC-11541,2024-02-20,8.9,8.8,8.8,5.8,Yes
SRV-394732,ENC-10666,2024-03-12,9.0,9.5,8.1,8.0,Yes
SRV-381432,ENC-12411,2024-06-11,5.8,5.0,7.6,2.1,No
SRV-231827,ENC-10666,2024-01-11,4.3,3.8,5.3,6.1,Yes
SRV-497563,ENC-14870,2024-02-17,4.7,4.6,3.4,4.3,No
SRV-427669,ENC-11012,2024-11-08,9.3,10.0,9.7,10.0,Yes
SRV-120521,ENC-12576,2024-10-07,6.1,6.1,8.2,1.0,No
SRV-811860,ENC-13058,2024-04-18,10.0,10.0,10.0,8.8,Yes
SRV-247513,ENC-13729,2024-07-25,8.7,8.0,9.8,8.2,Yes
SRV-228330,ENC-14720,2024-12-05,7.3,5.3,8.3,9.5,Yes
SRV-382306,ENC-11103,2024-10-15,4.6,4.7,6.1,5.7,Yes
SRV-124390,ENC-12139,2024-03-09,4.6,4.5,7.7,1.0,No
SRV-829470,ENC-10854,2024-11-05,8.6,7.9,8.5,8.7,No
SRV-963717,ENC-14636,2024-06-30,6.0,8.0,6.3,8.0,No
SRV-901459,ENC-14926,2024-03-12,9.1,9.7,9.8,7.3,Yes
SRV-753821,ENC-13509,2024-01-02,7.7,7.0,7.5,9.2,Yes
SRV-484239,ENC-12334,2024-12-23,6.0,6.2,4.9,9.3,Yes
SRV-774459,ENC-13967,2024-05-24,8.8,8.3,9.1,9.3,Yes
SRV-223139,ENC-14010,2024-01-03,7.0,9.6,8.0,10.0,Yes
SRV-530218,ENC-12266,2024-11-06,9.4,9.0,10.0,10.0,No
SRV-691271,ENC-12159,2024-07-10,9.4,9.2,10.0,5.9,Yes
SRV-798095,ENC-11415,2024-01-02,8.1,7.0,9.1,7.5,No
SRV-525744,ENC-11124,2024-09-30,9.5,9.1,10.0,5.8,Yes
SRV-831445,ENC-92005,2024-02-26,10.0,9.1,10.0,9.9,Yes
SRV-634867,ENC-12536,2024-03-12,7.4,8.6,9.0,2.3,No
SRV-348583,ENC-12524,2024-06-29,7.6,6.4,8.7,8.9,No
SRV-671539,ENC-14350,2024-12-18,10.0,10.0,10.0,10.0,Yes
SRV-104915,ENC-11648,2024-06-10,7.9,7.4,7.1,8.2,Yes
SRV-249818,ENC-13912,2024-03-02,9.0,9.7,9.8,7.5,Yes
SRV-880745,ENC-10196,2024-09-20,8.2,7.8,8.6,5.8,No
SRV-714353,ENC-10966,2024-04-18,7.5,7.6,9.0,8.9,Yes
SRV-179672,ENC-11032,2024-02-23,5.8,7.0,6.1,7.7,Yes
SRV-459612,ENC-13013,2024-07-02,4.7,4.5,6.3,7.6,No
SRV-677703,ENC-12248,2024-08-01,5.2,4.8,6.8,5.7,No
SRV-978767,ENC-10167,2024-12-04,7.5,7.9,7.5,10.0,Yes
SRV-838538,ENC-14535,2024-07-13,10.0,10.0,10.0,7.1,Yes
SRV-199913,ENC-10402,2024-01-09,10.0,8.8,10.0,9.0,Yes
SRV-283528,ENC-14424,2024-01-22,9.7,10.0,10.0,9.0,No
SRV-958883,ENC-14009,2024-01-27,4.9,6.9,5.5,1.9,Yes
SRV-175519,ENC-14523,2024-04-03,9.2,8.0,9.7,7.9,Yes
SRV-448740,ENC-11319,2024-10-06,7.4,8.0,6.5,7.4,Yes
SRV-124415,ENC-12030,2024-03-15,1.0,1.0,1.5,1.0,No
SRV-220971,ENC-10844,2024-10-25,10.0,9.3,10.0,10.0,Yes
SRV-347750,ENC-12822,2024-03-26,2.6,2.0,2.5,4.2,Yes
SRV-530643,ENC-14754,2024-01-14,1.0,1.0,2.2,1.0,No
SRV-490186,ENC-10803,2024-01-30,1.7,1.2,1.6,1.9,Yes
SRV-748916,ENC-11313,2024-11-11,7.9,5.3,7.2,6.4,Yes
SRV-993155,ENC-11614,2024-01-31,5.0,4.4,6.9,5.6,Yes
SRV-395104,ENC-13673,2024-02-28,7.6,7.2,7.0,9.2,Yes
SRV-757729,ENC-12299,2024-01-28,8.2,7.3,7.0,8.0,Yes
SRV-276873,ENC-10781,2024-01-29,5.1,5.1,4.9,5.3,No
SRV-748379,ENC-13541,2024-04-30,8.4,7.4,9.1,6.6,Yes
SRV-202265,ENC-10226,2024-09-22,7.6,9.0,6.5,9.4,Yes
SRV-318108,ENC-14992,2024-03-24,8.2,7.1,7.0,7.5,No
SRV-481566,ENC-11847,2024-05-20,7.5,5.6,10.0,9.2,No
SRV-180578,ENC-12754,2024-11-22,6.7,7.0,5.7,9.3,No
SRV-242821,ENC-13984,2024-06-06,6.9,6.7,6.8,8.7,No
SRV-497946,ENC-10400,2024-11-13,9.1,10.0,9.2,9.8,No
SRV-270132,ENC-14506,2024-01-28,7.2,6.8,7.9,10.0,Yes
SRV-414267,ENC-14516,2024-09-25,9.2,10.0,9.6,10.0,Yes
SRV-172382,ENC-13991,2024-03-24,1.0,1.0,1.7,2.5,No
SRV-750577,ENC-10290,2024-04-07,3.2,1.0,4.4,3.0,No
SRV-594497,ENC-10254,2024-11-10,7.6,8.7,8.7,8.1,Yes
SRV-613118,ENC-10138,2024-05-04,7.7,7.1,9.0,9.1,No
SRV-444089,ENC-93872,2024-06-28,7.9,8.9,7.4,7.0,No
SRV-523699,ENC-14714,2024-10-31,7.8,8.2,10.0,7.1,Yes
SRV-580934,ENC-14720,2024-08-22,8.5,8.6,10.0,8.3,Yes
SRV-554595,ENC-12628,2024-09-14,9.3,10.0,9.5,10.0,Yes
SRV-677949,ENC-13984,2024-01-01,7.2,6.9,8.8,2.3,Yes
SRV-801770,ENC-12983,2024-12-21,8.5,9.6,8.9,8.8,No
SRV-730771,ENC-14106,2024-12-14,6.1,6.8,6.7,6.0,No
SRV-528365,ENC-10126,2024-06-05,8.0,9.3,9.3,10.0,Yes
SRV-612708,ENC-14410,2024-05-01,7.1,8.9,6.6,7.1,Yes
SRV-957141,ENC-14701,2024-07-09,5.3,5.3,7.2,5.3,Yes
SRV-606889,ENC-10469,2024-02-17,9.9,9.6,9.8,10.0,Yes
SRV-233126,ENC-12475,2024-01-08,7.3,7.5,6.4,9.2,Yes
SRV-510062,ENC-12782,2024-01-18,4.8,6.3,5.4,4.3,No
SRV-217179,ENC-12791,2024-12-27,9.4,7.4,9.1,8.1,Yes
SRV-140845,ENC-14140,2024-11-06,6.1,5.4,8.5,8.5,No
SRV-233297,ENC-11147,2024-07-04,9.4,9.1,9.1,9.5,Yes
SRV-701437,ENC-12311,2024-02-13,5.7,3.9,6.0,4.3,Yes
SRV-547461,ENC-12421,2024-07-09,5.1,6.8,4.7,6.9,No
SRV-802883,ENC-10167,2024-07-08,9.8,10.0,10.0,9.4,No
SRV-652430,ENC-14324,2024-09-09,10.0,9.9,10.0,5.0,Yes
SRV-515704,ENC-94596,2024-05-16,8.0,7.6,7.0,7.8,Yes
SRV-740128,ENC-14341,2024-09-10,6.5,7.3,6.6,6.0,Yes
SRV-812976,ENC-10493,2024-01-10,9.2,9.3,8.5,9.7,No
SRV-490260,ENC-10532,2024-07-05,6.2,7.5,4.9,7.6,No
SRV-492433,ENC-10634,2024-01-01,8.6,7.1,9.3,10.0,Yes
SRV-732749,ENC-14326,2024-07-12,7.2,8.2,6.8,4.6,No
SRV-817042,ENC-13231,2024-02-27,8.1,6.1,7.3,8.7,Yes
SRV-499106,ENC-11809,2024-11-14,8.9,8.5,9.7,9.2,Yes
SRV-199522,ENC-14928,2024-10-09,10.0,10.0,10.0,7.3,Yes
SRV-975384,ENC-12164,2024-09-23,7.8,9.0,8.5,7.1,Yes
SRV-550966,ENC-13024,2024-10-17,4.3,6.3,4.8,7.5,No
SRV-454614,ENC-14126,2024-10-02,9.5,9.2,9.1,9.9,Yes
SRV-243310,ENC-12062,2024-11-24,9.2,8.3,9.6,9.1,Yes
SRV-384898,ENC-10926,2024-03-15,10.0,10.0,10.0,8.9,Yes
SRV-940957,ENC-12895,2024-11-18,2.8,3.0,2.3,3.9,Yes
SRV-638921,ENC-14250,2024-05-30,8.6,7.9,7.8,10.0,No
SRV-942462,ENC-12919,2024-11-18,6.4,6.1,6.5,6.4,Yes
SRV-592150,ENC-14251,2024-04-21,7.6,7.4,8.7,7.3,Yes
SRV-804089,ENC-14822,2024-05-08,1.9,2.3,2.2,2.0,Yes
SRV-174228,ENC-96623,2024-04-13,7.0,7.5,8.1,6.9,Yes
SRV-879089,ENC-12722,2024-09-12,9.0,8.9,8.9,7.2,Yes
SRV-401257,ENC-95317,2024-08-13,6.2,5.2,6.3,8.9,No
SRV-955466,ENC-13182,2024-07-23,7.5,6.8,8.4,7.8,Yes
SRV-186645,ENC-12205,2024-03-09,7.9,7.2,9.1,8.3,Yes
SRV-540784,ENC-12204,2024-11-24,6.6,6.2,5.9,5.2,Yes
SRV-107153,ENC-12636,2024-06-11,10.0,10.0,8.9,10.0,Yes
SRV-199552,ENC-14584,2024-09-20,5.4,3.0,6.5,5.4,Yes
SRV-563228,ENC-11523,2024-08-24,9.1,9.1,10.0,10.0,No
SRV-102625,ENC-14805,2024-06-05,9.8,9.4,9.8,8.9,Yes
SRV-888355,ENC-14656,2024-03-15,7.3,9.1,9.0,2.1,Yes
SRV-560686,ENC-10230,2024-04-28,6.1,6.6,5.6,5.9,No
SRV-817847,ENC-12266,2024-11-16,7.3,7.7,9.4,9.0,Yes
SRV-459016,ENC-11042,2024-07-20,6.3,8.3,7.6,6.5,No
SRV-156742,ENC-12385,2024-05-03,6.0,7.8,5.1,5.8,Yes
SRV-429872,ENC-13386,2024-10-02,6.8,8.4,6.2,10.0,No
SRV-157410,ENC-14528,2024-07-09,8.9,7.0,9.6,8.1,No
SRV-698334,ENC-14985,2024-09-25,6.5,8.3,5.7,6.2,No
SRV-579575,ENC-14516,2024-02-02,6.8,6.9,9.4,4.9,No
SRV-573764,ENC-10184,2024-12-09,10.0,9.0,10.0,9.8,Yes
SRV-434391,ENC-14312,2024-04-05,5.9,4.7,6.5,6.4,Yes
SRV-996029,ENC-12246,2024-11-24,6.2,6.2,5.5,2.6,Yes
SRV-283629,ENC-11750,2024-11-03,9.2,9.2,7.3,10.0,Yes
SRV-289606,ENC-14414,2024-02-10,4.1,5.5,5.1,3.2,No
SRV-298392,ENC-11545,2024-04-30,10.0,10.0,10.0,10.0,Yes
SRV-493261,ENC-14802,2024-11-13,8.3,9.1,10.0,8.4,Yes
SRV-231884,ENC-11804,2024-05-13,10.0,10.0,10.0,8.8,Yes
SRV-259395,ENC-14290,2024-12-18,5.2,5.4,6.6,4.9,No
SRV-774035,ENC-13249,2024-11-16,8.5,6.8,8.7,8.8,Yes
SRV-203347,ENC-11184,2024-06-09,10.0,9.1,9.7,8.9,Yes
SRV-857232,ENC-14054,2024-09-12,6.8,9.2,8.1,6.1,Yes
SRV-967063,ENC-12971,2024-11-02,10.0,9.3,10.0,10.0,Yes
SRV-347137,ENC-11796,2024-02-22,7.3,7.7,8.6,4.5,No
SRV-283480,ENC-12641,2024-09-20,10.0,9.7,10.0,10.0,Yes
SRV-695401,ENC-91504,2024-06-21,2.7,1.9,2.7,5.4,No
SRV-987485,ENC-12064,2024-01-15,5.9,6.4,6.0,5.2,Yes
SRV-731543,ENC-97044,2024-09-18,4.5,4.9,3.6,3.0,No
SRV-373266,ENC-11147,2024-01-12,6.2,5.4,7.0,5.9,Yes
SRV-304439,ENC-11426,2024-02-22,5.2,5.6,6.0,2.7,No
SRV-241626,ENC-13874,2024-03-26,9.3,10.0,9.8,8.5,No
SRV-847854,ENC-12849,2024-01-05,5.9,4.4,5.6,8.4,Yes
SRV-875887,ENC-10742,2024-12-05,8.8,9.3,8.9,8.8,No
SRV-515085,ENC-11655,2024-08-15,10.0,10.0,10.0,10.0,Yes
SRV-692217,ENC-10604,2024-07-21,8.9,7.7,9.0,10.0,Yes
SRV-870176,ENC-14026,2024-08-23,8.8,10.0,7.8,6.5,Yes
SRV-720374,ENC-10085,2024-09-05,6.3,5.3,6.9,3.9,Yes
SRV-368001,ENC-14645,2024-09-22,7.4,6.2,8.3,10.0,Yes
SRV-278957,ENC-13317,2024-02-17,6.2,5.6,8.5,7.0,No
SRV-388091,ENC-13692,2024-01-23,5.7,6.0,5.8,5.2,No
SRV-585344,ENC-10927,2024-11-09,2.4,1.6,2.7,3.5,No
SRV-433832,ENC-10218,2024-05-14,5.0,3.5,6.1,5.2,No
SRV-642455,ENC-10157,2024-06-10,1.0,1.0,2.8,1.6,Yes
SRV-299529,ENC-10503,2024-08-28,6.7,5.4,5.8,4.6,No
SRV-391172,ENC-11799,2024-07-06,3.1,3.0,3.4,3.9,Yes
SRV-297222,ENC-11948,2024-03-20,9.1,10.0,10.0,7.2,No
SRV-369502,ENC-14718,2024-05-16,6.1,6.4,5.7,5.6,No
SRV-918523,ENC-12883,2024-10-23,7.7,10.0,8.3,6.7,No
SRV-965566,ENC-12584,2024-09-25,8.6,8.7,10.0,10.0,Yes
SRV-974926,ENC-14164,2024-05-04,8.2,7.7,8.5,7.3,Yes
SRV-628660,ENC-13214,2024-07-27,3.4,2.7,1.9,3.0,No
SRV-328081,ENC-14024,2024-03-27,6.3,5.9,6.9,4.9,Yes
SRV-231296,ENC-11590,2024-10-06,6.8,7.0,8.2,6.5,No
SRV-440080,ENC-11653,2024-07-25,6.7,7.7,7.6,5.1,Yes
SRV-540082,ENC-10587,2024-01-28,4.7,3.9,5.7,2.8,No
SRV-323548,ENC-98737,2024-03-21,6.9,6.9,6.9,7.7,Yes
SRV-763639,ENC-12788,2024-07-19,8.7,8.1,7.4,9.1,No
SRV-423647,ENC-13542,2024-04-12,1.4,2.0,1.3,4.7,No
SRV-350363,ENC-14461,2024-09-14,5.4,5.9,6.2,7.5,No
SRV-835605,ENC-11181,2024-02-02,8.1,9.2,8.6,6.6,No
SRV-948943,ENC-10202,2024-04-07,3.4,3.4,2.3,6.2,No
SRV-582242,ENC-10730,2024-11-28,8.4,8.0,8.4,9.3,Yes
SRV-639470,ENC-12575,2024-07-13,4.6,3.5,4.2,2.6,No
SRV-505012,ENC-14209,2024-09-15,5.0,6.0,6.5,3.4,No
SRV-669623,ENC-10263,2024-01-18,5.2,4.8,5.8,4.4,Yes
SRV-231630,ENC-10974,2024-03-06,10.0,9.7,10.0,10.0,Yes
SRV-918871,ENC-14738,2024-11-12,7.1,7.6,8.8,6.4,Yes
SRV-226495,ENC-11567,2024-05-15,10.0,9.5,9.7,10.0,Yes
SRV-127184,ENC-14261,2024-10-22,8.4,9.5,9.3,8.0,No
SRV-164158,ENC-14830,2024-04-26,5.2,7.0,4.5,5.6,No
SRV-405387,ENC-12548,2024-09-26,5.7,5.6,6.9,5.3,No
SRV-488872,ENC-12669,2024-06-05,9.0,8.4,8.5,10.0,Yes
SRV-252223,ENC-13517,2024-03-19,8.0,9.4,7.5,8.5,Yes
SRV-748006,ENC-13464,2024-02-26,6.8,7.1,6.5,4.7,No
SRV-858652,ENC-11302,2024-02-06,4.0,2.4,3.7,3.2,No
SRV-486954,ENC-11067,2024-11-01,10.0,9.9,9.9,8.5,Yes
SRV-409221,ENC-10882,2024-10-30,2.9,3.7,5.0,2.6,No
SRV-646885,ENC-11012,2024-10-05,10.0,10.0,9.0,7.9,Yes
SRV-860054,ENC-13988,2024-08-03,9.0,9.2,10.0,9.0,Yes
SRV-141884,ENC-11848,2024-01-23,7.1,7.1,7.5,7.3,No
SRV-874276,ENC-10654,2024-06-24,8.1,6.9,7.7,10.0,No
SRV-958594,ENC-11340,2024-03-27,5.7,5.3,5.7,1.0,No
SRV-836482,ENC-13331,2024-02-22,8.3,9.5,9.8,6.2,Yes
SRV-988100,ENC-96952,2024-06-10,1.0,3.3,2.0,1.8,No
SRV-741069,ENC-12429,2024-05-24,8.4,8.4,7.0,8.9,No
SRV-159405,ENC-12847,2024-10-01,2.6,1.0,3.5,1.0,Yes
SRV-795703,ENC-11196,2024-05-27,9.4,9.2,10.0,10.0,No
SRV-343567,ENC-11365,2024-07-14,10.0,9.9,9.2,10.0,Yes
SRV-144027,ENC-14312,2024-09-26,6.4,6.7,8.1,9.3,Yes
SRV-297679,ENC-12363,2024-05-19,7.5,8.6,7.6,5.5,No
SRV-511778,ENC-14006,2024-05-31,6.5,7.7,7.1,8.1,Yes
SRV-143953,ENC-10008,2024-08-16,5.7,3.4,4.7,3.2,No
SRV-631908,ENC-10392,2024-06-08,9.6,7.9,10.0,9.9,No
SRV-834522,ENC-14120,2024-08-13,6.3,4.8,5.7,9.6,No
SRV-847314,ENC-13467,2024-12-26,10.0,9.5,10.0,10.0,Yes
SRV-740844,ENC-11148,2024-09-30,10.0,8.8,10.0,10.0,Yes
SRV-718446,ENC-13796,2024-04-13,8.2,8.8,9.1,9.8,No
SRV-876951,ENC-12959,2024-04-21,5.5,6.7,6.0,7.0,Yes
SRV-229949,ENC-14858,2024-06-05,9.8,10.0,9.6,10.0,Yes
SRV-687737,ENC-11120,2024-08-13,10.0,8.8,10.0,10.0,Yes
SRV-184914,ENC-10061,2024-08-13,7.1,7.4,6.3,6.1,No
SRV-300447,ENC-12040,2024-05-17,8.2,8.2,6.9,7.1,Yes
SRV-379241,ENC-97501,2024-12-22,7.0,7.6,9.4,8.7,No
SRV-442029,ENC-12635,2024-02-09,3.8,4.0,5.6,2.7,No
SRV-486436,ENC-14743,2024-09-27,7.8,7.2,7.4,4.7,Yes
SRV-578423,ENC-11242,2024-02-20,5.6,7.5,5.5,6.8,No
SRV-815111,ENC-10320,2024-05-14,7.9,7.1,9.7,7.3,Yes
SRV-739320,ENC-13551,2024-03-19,1.0,1.0,1.4,1.6,No
SRV-933814,ENC-14018,2024-08-27,10.0,9.9,8.9,10.0,Yes
SRV-711753,ENC-13873,2024-02-13,1.0,1.0,2.1,6.2,No
SRV-821422,ENC-10465,2024-10-26,9.7,9.6,10.0,10.0,Yes
SRV-703387,ENC-92158,2024-08-21,6.9,8.9,6.6,8.1,Yes
SRV-145580,ENC-14391,2024-07-18,8.5,8.6,10.0,9.4,Yes
